Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,4383.62,4509.58,4358.26,4440.90,108683300,4440.90
2014-08-01,4236.35,4401.52,4109.31,4381.04,110797900,4381.04
2014-07-01,4438.77,4490.72,4238.27,4246.14,114523000,4246.14
2014-06-02,4523.90,4598.65,4407.18,4422.84,114844700,4422.84
2014-05-02,4473.83,4536.83,4400.91,4519.57,116230100,4519.57
2014-04-01,4408.74,4504.14,4319.28,4487.39,124285800,4487.39
2014-03-03,4338.79,4432.50,4183.00,4391.50,131823900,4391.50
2014-02-03,4160.28,4420.94,4080.60,4408.08,125291100,4408.08
2014-01-02,4307.40,4351.21,4098.71,4165.72,120861700,4165.72
2013-12-02,4294.65,4309.31,4051.25,4295.95,84995700,4295.95
2013-11-01,4302.03,4356.28,4211.82,4295.21,84573000,4295.21
2013-10-01,4151.92,4309.92,4105.67,4299.89,90862500,4299.89
2013-09-02,3974.79,4228.00,3927.63,4143.44,100299700,4143.44
2013-08-01,3996.81,4123.89,3933.78,3933.78,87095000,3933.78
2013-07-01,3761.57,4007.23,3668.77,3992.69,90739500,3992.69
2013-06-03,3929.68,3979.53,3575.17,3738.91,107405200,3738.91
2013-05-02,3828.62,4072.24,3819.04,3948.59,97148700,3948.59
2013-04-02,3729.82,3886.45,3584.38,3856.75,118131600,3856.75
2013-03-01,3712.42,3871.58,3661.21,3731.42,116144200,3731.42
2013-02-01,3734.66,3787.53,3600.81,3723.00,116251200,3723.00
2013-01-02,3702.66,3793.26,3680.61,3732.60,95565400,3732.60
2012-12-03,3567.90,3684.16,3563.02,3641.07,125059000,3641.07
2012-11-01,3420.48,3584.73,3341.52,3557.28,154257300,3557.28
2012-10-01,3348.07,3542.58,3348.07,3429.27,150857900,3429.27
2012-09-03,3401.96,3588.02,3354.82,3354.82,165196400,3354.82
2012-08-01,3298.70,3523.85,3232.46,3413.07,130514600,3413.07
2012-07-02,3197.04,3334.82,3065.47,3291.66,180287700,3291.66
2012-06-01,3028.30,3196.65,2922.26,3196.65,194743000,3196.65
2012-05-02,3265.12,3273.72,2970.10,3017.01,175116100,3017.01
2012-04-02,3439.17,3473.20,3088.36,3212.80,200782100,3212.80
2012-03-01,3444.53,3600.48,3362.56,3423.81,158598900,3423.81
2012-02-01,3320.32,3489.48,3320.32,3452.45,165837600,3452.45
2012-01-02,3158.24,3368.66,3114.45,3298.55,147896600,3298.55
2011-12-01,3151.35,3244.89,2941.40,3159.81,128455700,3159.81
2011-11-01,3162.57,3228.11,2793.22,3154.62,184877400,3154.62
2011-10-03,2913.07,3411.22,2808.22,3242.84,183288600,3242.84
2011-09-01,3273.05,3295.54,2693.21,2981.96,214645500,2981.96
2011-08-01,3718.11,3722.59,2891.11,3256.76,229613100,3256.76
2011-07-01,3981.96,4023.59,3630.75,3672.77,179697200,3672.77
2011-06-01,4014.84,4015.85,3742.31,3982.21,138982900,3982.21
2011-05-02,4137.75,4137.97,3884.55,4006.94,140312700,4006.94
2011-04-01,4014.58,4110.41,3862.40,4106.92,130624800,4106.92
2011-03-01,4126.66,4145.73,3693.94,3989.18,106617700,3989.18
2011-02-01,4037.14,4169.87,3984.36,4110.35,168391700,4110.35
2011-01-03,3847.63,4079.30,3790.96,4005.50,145760500,4005.50
2010-12-01,3634.61,3936.06,3620.64,3804.78,99637500,3804.78
2010-11-01,3865.04,3961.70,3591.78,3610.44,154385900,3610.44
