Date,Open,High,Low,Close,Volume,Adj Close
1999-03-01,4096.27,4111.91,4001.24,4032.05,000,4032.05
1999-02-26,4112.09,4134.44,4076.88,4092.94,000,4092.94
1999-02-25,4156.48,4224.90,4146.88,4152.56,000,4152.56
1999-02-24,4204.99,4264.49,4191.61,4213.70,000,4213.70
1999-02-23,4145.68,4241.31,4145.68,4207.95,000,4207.95
1999-02-22,4149.04,4165.86,4086.42,4165.86,000,4165.86
1999-02-19,4028.23,4130.48,4006.17,4130.48,000,4130.48
1999-02-18,4015.70,4039.41,3958.83,4039.41,000,4039.41
1999-02-17,4025.82,4030.22,3959.76,3985.49,000,3985.49
1999-02-16,4112.68,4121.29,4032.83,4052.32,000,4052.32
1999-02-15,4024.05,4079.02,4005.82,4065.19,000,4065.19
1999-02-12,4128.56,4145.78,4030.86,4060.36,000,4060.36
1999-02-11,4010.47,4072.34,4010.47,4072.34,000,4072.34
1999-02-10,4013.70,4025.55,3954.56,4001.93,000,4001.93
1999-02-09,4187.12,4195.56,4032.45,4038.49,000,4038.49
1999-02-08,4141.32,4187.66,4112.26,4154.02,000,4154.02
1999-02-05,4118.44,4219.18,4118.44,4147.30,000,4147.30
1999-02-04,4253.66,4267.56,4159.94,4167.42,000,4167.42
1999-02-03,4238.05,4280.71,4170.02,4188.84,000,4188.84
1999-02-02,4275.69,4276.41,4225.47,4243.57,000,4243.57
1999-02-01,4310.69,4354.29,4283.56,4303.92,000,4303.92
1999-01-29,4247.89,4312.89,4174.40,4251.80,000,4251.80
1999-01-28,4085.99,4229.52,4062.24,4199.67,000,4199.67
1999-01-27,4126.51,4149.70,4086.23,4098.10,000,4098.10
1999-01-26,4087.26,4092.55,4017.54,4071.28,000,4071.28
1999-01-25,3996.37,4056.98,3972.62,4050.80,000,4050.80
1999-01-22,4082.64,4085.74,4005.64,4019.33,000,4019.33
1999-01-21,4170.98,4179.01,4110.45,4154.03,000,4154.03
1999-01-20,4188.79,4206.01,4124.71,4190.01,000,4190.01
1999-01-19,4134.74,4186.14,4093.67,4115.99,000,4115.99
1999-01-18,4087.42,4160.53,4087.42,4151.68,000,4151.68
1999-01-15,3890.88,4054.81,3890.88,4054.81,000,4054.81
1999-01-14,3982.53,4035.17,3947.39,3997.06,000,3997.06
1999-01-13,4031.18,4057.65,3845.77,3958.72,000,3958.72
1999-01-12,4180.06,4213.67,4095.38,4100.70,000,4100.70
1999-01-11,4280.61,4283.80,4165.63,4201.90,000,4201.90
1999-01-08,4261.70,4295.97,4220.80,4245.42,000,4245.42
1999-01-07,4298.68,4313.18,4210.64,4230.67,000,4230.67
1999-01-06,4249.11,4320.52,4242.70,4294.82,000,4294.82
1999-01-05,4166.86,4200.78,4136.45,4200.78,000,4200.78
1999-01-04,4030.44,4147.50,3993.23,4147.50,000,4147.50
1998-12-30,3898.93,3942.66,3860.16,3942.66,000,3942.66
1998-12-29,3869.17,3891.30,3857.25,3891.10,000,3891.10
1998-12-28,3877.50,3901.46,3860.75,3873.10,000,3873.10
1998-12-23,3807.56,3872.42,3807.56,3872.42,000,3872.42
1998-12-22,3791.85,3839.95,3774.22,3820.47,000,3820.47
1998-12-21,3696.72,3804.16,3695.66,3803.41,000,3803.41
1998-12-18,3745.74,3750.27,3682.72,3691.89,000,3691.89
1998-12-17,3694.61,3754.94,3692.34,3751.17,000,3751.17
1998-12-16,3702.78,3732.85,3681.97,3707.47,000,3707.47
1998-12-15,3677.97,3686.03,3641.73,3673.76,000,3673.76
1998-12-14,3656.28,3690.27,3643.88,3663.21,000,3663.21
1998-12-11,3677.05,3703.63,3644.03,3695.70,000,3695.70
1998-12-10,3739.46,3810.91,3728.06,3746.97,000,3746.97
1998-12-09,3749.10,3779.91,3721.53,3772.61,000,3772.61
1998-12-08,3763.00,3789.88,3754.21,3765.41,000,3765.41
1998-12-07,3771.78,3794.94,3742.59,3771.22,000,3771.22
1998-12-04,3648.48,3774.68,3645.13,3738.59,000,3738.59
1998-12-03,3611.99,3755.24,3584.42,3715.67,000,3715.67
1998-12-02,3726.55,3726.55,3628.42,3649.91,000,3649.91
1998-12-01,3756.98,3760.01,3663.33,3688.34,000,3688.34
1998-11-30,3925.08,3983.29,3840.33,3843.38,000,3843.38
1998-11-27,3911.26,3962.39,3878.07,3950.94,000,3950.94
1998-11-26,3879.97,3919.69,3865.42,3915.53,000,3915.53
1998-11-25,3858.13,3880.35,3829.25,3849.84,000,3849.84
1998-11-24,3913.02,3924.42,3834.09,3839.38,000,3839.38
1998-11-23,3831.03,3868.04,3831.03,3845.81,000,3845.81
1998-11-20,3742.20,3812.49,3742.20,3802.70,000,3802.70
1998-11-19,3639.38,3706.76,3631.88,3706.76,000,3706.76
1998-11-18,3648.77,3660.82,3581.73,3612.50,000,3612.50
1998-11-17,3603.11,3623.70,3594.64,3601.57,000,3601.57
1998-11-16,3603.28,3624.60,3594.68,3621.85,000,3621.85
1998-11-13,3574.30,3574.58,3513.48,3562.23,000,3562.23
1998-11-12,3521.96,3560.23,3502.76,3560.23,000,3560.23
1998-11-10,3583.89,3583.89,3525.63,3544.74,000,3544.74
1998-11-09,3605.49,3620.70,3555.82,3585.32,000,3585.32
1998-11-06,3658.67,3663.33,3580.42,3588.63,000,3588.63
1998-11-05,3679.27,3679.47,3589.23,3596.18,000,3596.18
1998-11-04,3628.35,3684.65,3606.84,3684.16,000,3684.16
