Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,188.31,188.57,186.28,187.26,4022400,184.07
2014-01-09,189.02,189.50,186.55,187.38,4321300,184.19
2014-01-08,189.33,189.42,187.26,187.97,4603700,184.77
2014-01-07,186.39,190.35,186.38,189.71,5932300,186.48
2014-01-06,187.15,187.36,185.30,186.00,4067800,182.83
2014-01-03,185.83,187.35,185.30,186.64,4063200,183.46
2014-01-02,187.21,187.40,185.20,185.53,4546500,182.37
2013-12-31,186.49,187.79,186.30,187.57,3619700,184.38
2013-12-30,185.32,186.70,184.67,186.41,3018600,183.24
2013-12-27,185.84,186.50,184.56,185.08,3381600,181.93
2013-12-26,183.56,185.56,183.51,185.35,3325700,182.19
2013-12-24,181.96,183.50,181.91,183.22,1613600,180.10
2013-12-23,181.05,182.93,180.61,182.23,4079900,179.13
2013-12-20,180.12,182.00,180.02,180.02,7653500,176.96
2013-12-19,177.88,180.54,177.88,180.22,5927000,177.15
2013-12-18,176.45,178.74,174.85,178.70,5697700,175.66
2013-12-17,177.36,177.49,175.12,175.76,5471900,172.77
2013-12-16,173.22,178.35,172.73,177.85,7517000,174.82
2013-12-13,173.52,174.38,172.73,172.80,4184400,169.86
2013-12-12,175.06,175.80,173.30,173.37,5671600,170.42
2013-12-11,177.00,177.76,175.10,175.20,4090400,172.22
2013-12-10,176.90,177.67,176.06,177.12,4127800,174.10
2013-12-09,177.99,178.15,176.83,177.46,3796600,174.44
2013-12-06,176.70,178.00,176.01,177.67,4739800,174.65
2013-12-05,176.15,176.86,175.28,176.08,4384900,173.08
2013-12-04,175.37,177.50,175.16,175.74,5267400,172.75
2013-12-03,177.00,178.23,175.64,176.08,5864000,173.08
2013-12-02,179.46,179.59,177.12,177.48,4560000,174.46
2013-11-29,179.21,180.76,179.00,179.68,2870500,176.62
2013-11-27,177.83,180.18,177.82,178.97,4596500,175.92
2013-11-26,178.67,178.94,177.31,177.31,5756000,174.29
2013-11-25,180.25,180.75,177.82,178.94,7161900,175.89
2013-11-22,183.50,184.99,179.92,181.30,7610200,178.21
2013-11-21,185.54,185.75,183.41,184.13,4459500,181.00
2013-11-20,185.22,186.24,184.65,185.19,3645800,182.04
2013-11-19,184.63,186.20,184.15,185.25,4577000,182.10
2013-11-18,183.52,184.99,183.27,184.47,5344900,181.33
2013-11-15,182.38,183.28,181.16,183.19,5176100,180.07
2013-11-14,180.48,183.20,179.66,182.21,6321500,179.11
2013-11-13,182.27,183.55,181.59,183.55,4704400,180.43
2013-11-12,182.53,184.05,182.26,183.07,4258500,179.95
2013-11-11,180.19,183.39,180.04,182.88,5222300,179.77
2013-11-08,178.83,180.08,177.35,179.99,6275000,176.93
2013-11-07,179.60,181.39,179.60,180.00,5219500,176.94
2013-11-06,177.91,179.75,177.78,179.19,4560700,176.14
2013-11-05,179.54,179.80,177.71,177.85,6096800,173.89
2013-11-04,179.90,180.80,179.34,180.27,3483300,176.25
2013-11-01,179.81,180.34,178.88,179.23,3644500,175.24
2013-10-31,179.65,181.67,179.04,179.21,4318100,175.22
2013-10-30,181.69,182.18,179.86,180.15,5273700,176.14
2013-10-29,177.62,182.32,177.50,182.12,8904600,178.06
2013-10-28,177.04,177.89,176.20,177.35,3712700,173.40
2013-10-25,178.43,179.10,176.26,176.85,4842800,172.91
2013-10-24,176.43,177.89,176.25,177.80,5533300,173.84
2013-10-23,175.09,175.99,174.40,175.77,5409400,171.86
2013-10-22,173.35,175.57,172.95,174.97,6977300,171.07
2013-10-21,174.42,174.75,172.63,172.86,7098700,169.01
2013-10-18,174.80,175.00,173.25,173.78,10548000,169.91
2013-10-17,173.84,177.00,172.57,174.83,22368900,170.94
2013-10-16,185.42,186.73,184.99,186.73,6718000,182.57
2013-10-15,185.74,185.94,184.22,184.66,3365100,180.55
2013-10-14,185.41,186.99,184.42,186.97,2663100,182.81
2013-10-11,185.25,186.23,184.12,186.16,3232600,182.01
2013-10-10,183.17,184.77,182.36,184.77,3658900,180.65
2013-10-09,179.37,181.67,179.10,181.32,4423500,177.28
2013-10-08,181.89,181.99,178.71,178.72,5578300,174.74
2013-10-07,181.85,183.31,181.85,182.01,3966400,177.96
2013-10-04,184.17,185.13,183.58,184.10,2863600,180.00
2013-10-03,184.70,184.96,183.00,183.86,3211800,179.76
2013-10-02,185.54,186.31,184.41,184.96,3617100,180.84
2013-10-01,185.34,186.65,184.65,186.38,2681200,182.23
2013-09-30,185.56,186.74,184.34,185.18,3978200,181.06
2013-09-27,188.87,188.94,186.45,186.92,3905500,182.76
2013-09-26,190.10,191.76,189.46,190.22,2093600,185.98
2013-09-25,190.14,190.62,188.50,189.47,2654500,185.25
2013-09-24,190.93,191.56,189.66,189.97,3085300,185.74
2013-09-23,190.06,192.41,189.33,190.99,3340800,186.74
2013-09-20,193.96,194.43,190.02,190.02,8525900,185.79
2013-09-19,194.18,194.89,193.22,193.39,3178100,189.08
2013-09-18,192.60,194.89,192.00,194.42,3841800,190.09
2013-09-17,193.42,194.15,191.83,192.16,2930900,187.88
2013-09-16,193.70,194.81,192.61,193.15,3902400,188.85
2013-09-13,191.21,193.10,191.00,192.17,3710400,187.89
2013-09-12,190.96,191.32,189.85,190.73,3354800,186.48
2013-09-11,186.83,190.87,186.82,190.70,4962900,186.45
2013-09-10,187.20,187.65,186.37,186.60,3149600,182.44
2013-09-09,183.68,185.49,183.31,184.98,3017200,180.86
2013-09-06,184.65,184.99,182.65,183.03,2903500,178.95
2013-09-05,183.35,185.00,183.07,184.15,2867600,180.05
2013-09-04,183.58,184.19,182.31,183.13,2597900,179.05
2013-09-03,183.63,184.32,182.51,183.96,3487200,179.86
2013-08-30,182.75,182.99,181.51,182.27,2731000,178.21
2013-08-29,181.96,183.70,181.44,182.64,2980900,178.57
2013-08-28,182.68,183.47,181.10,182.16,3979200,178.10
2013-08-27,183.63,184.50,182.57,182.74,3190700,178.67
2013-08-26,185.27,187.00,184.68,184.74,2170400,180.63
2013-08-23,185.34,185.74,184.57,185.42,2292700,181.29
2013-08-22,185.65,186.25,184.25,185.19,2354300,181.07
2013-08-21,184.67,186.57,184.28,184.86,3551000,180.74
2013-08-20,184.37,185.63,183.17,184.56,3117800,180.45
2013-08-19,185.30,186.50,183.98,184.23,3248900,180.13
2013-08-16,185.54,186.46,185.34,185.34,3426400,181.21
2013-08-15,186.23,187.00,185.45,185.79,3692400,181.65
2013-08-14,188.58,188.93,187.30,187.53,2892300,183.35
2013-08-13,189.54,189.99,187.56,188.42,3542900,184.22
2013-08-12,186.97,189.56,186.89,189.09,3026500,184.88
2013-08-09,188.00,189.16,187.00,187.82,3249600,183.64
2013-08-08,189.45,189.87,186.79,187.93,4547600,183.74
2013-08-07,189.60,189.93,188.05,188.56,3901700,184.36
2013-08-06,192.26,192.51,190.27,190.99,5938500,185.81
2013-08-05,195.16,195.88,194.35,195.50,2490900,190.19
2013-08-02,195.50,195.50,193.22,195.16,3874000,189.86
2013-08-01,196.65,197.17,195.41,195.81,2877700,190.50
2013-07-31,194.49,196.91,194.49,195.04,3810000,189.75
2013-07-30,196.99,197.83,195.81,196.01,2663200,190.69
2013-07-29,196.83,197.19,195.53,196.21,2113700,190.89
2013-07-26,196.59,197.37,195.00,197.35,2485100,191.99
2013-07-25,196.30,197.83,195.66,197.22,3014300,191.87
2013-07-24,195.95,197.30,195.86,196.61,2957900,191.27
2013-07-23,194.21,196.43,194.10,194.98,2863800,189.69
2013-07-22,193.40,195.79,193.28,194.09,3398000,188.82
2013-07-19,197.91,197.99,193.24,193.54,6997600,188.29
2013-07-18,198.27,200.94,195.99,197.99,8393400,192.62
2013-07-17,194.72,194.89,193.03,194.55,6868400,189.27
2013-07-16,194.04,194.58,192.68,193.85,3745300,188.59
2013-07-15,192.42,194.89,191.68,194.00,5674700,188.74
2013-07-12,193.07,193.70,191.59,192.07,4494700,186.86
2013-07-11,193.78,194.11,192.61,192.80,4177500,187.57
2013-07-10,191.51,193.43,191.27,192.25,3892000,187.03
2013-07-09,191.88,192.80,190.78,191.30,5204200,186.11
2013-07-08,195.60,195.78,194.61,194.98,2947500,189.69
2013-07-05,194.49,195.16,192.35,194.93,2405400,189.64
2013-07-03,190.98,194.22,190.51,193.25,1872600,188.01
2013-07-02,190.78,193.23,190.26,191.50,3657700,186.30
2013-07-01,192.15,193.80,191.12,191.28,4442400,186.09
2013-06-28,191.73,192.66,188.41,191.11,10055800,185.92
2013-06-27,196.05,196.90,195.29,195.65,3514200,190.34
2013-06-26,195.97,196.23,194.50,194.86,3320200,189.57
2013-06-25,195.31,195.59,193.15,194.98,3846200,189.69
2013-06-24,193.99,194.91,191.34,193.54,4356200,188.29
2013-06-21,198.50,198.52,193.54,195.46,8914800,190.16
2013-06-20,200.67,201.70,197.28,197.35,4514800,191.99
2013-06-19,204.44,205.03,201.93,201.94,2846100,196.46
2013-06-18,203.02,206.09,202.87,204.87,3277800,199.31
2013-06-17,203.44,205.17,202.55,203.04,3219900,197.53
2013-06-14,203.97,204.74,201.81,202.20,2804500,196.71
2013-06-13,201.01,204.40,200.34,203.77,2899500,198.24
2013-06-12,204.59,205.23,200.51,201.20,3409800,195.74
2013-06-11,203.17,205.95,202.51,203.98,2814400,198.44
2013-06-10,206.97,206.98,204.90,205.02,2652300,199.46
2013-06-07,204.85,206.35,204.11,206.35,2953400,200.75
2013-06-06,203.00,204.20,201.47,203.80,3679400,198.27
